Thread ID,Solution
0,6893472
0,1066848351
0,6895183
0,1066846640
0,6895488
0,1066846335
0,7022464
0,1066719359
0,7023036
0,1066718787
0,7116615
0,1066625208
0,7116736
0,1066625087
0,7116737
0,1066625086
0,7120768
0,1066621055
0,7136896
0,1066604927
0,7148895
0,1066592928
0,7148927
0,1066592896
0,7149383
0,1066592440
0,7149504
0,1066592319
0,7149505
0,1066592318
0,7153536
0,1066588287
0,7281023
0,1066460800
0,7624031
0,1066117792
0,7624063
0,1066117760
0,7624519
0,1066117304
0,7624640
0,1066117183
0,7624641
0,1066117182
0,7631967
0,1066109856
0,7631999
0,1066109824
0,7632704
0,1066109119
0,7632705
0,1066109118
0,7640903
0,1066100920
0,7641024
0,1066100799
0,7641025
0,1066100798
0,7673183
0,1066068640
0,7673215
0,1066068608
0,7673671
0,1066068152
0,7673792
0,1066068031
0,7673793
0,1066068030
0,7688543
0,1066053280
0,7688575
0,1066053248
0,7689311
0,1066052512
0,7689343
0,1066052480
0,7689543
0,1066052280
0,7689664
0,1066052159
0,7689665
0,1066052158
0,7696479
0,1066045344
0,7696511
0,1066045312
0,7697479
0,1066044344
0,7697728
0,1066044095
0,7697729
0,1066044094
0,7805311
0,1065936512
0,7821439
0,1065920384
0,7873948
0,1065867875
0,7873980
0,1065867843
0,7874190
0,1065867633
0,7874191
0,1065867632
0,7874432
0,1065867391
0,7874434
0,1065867389
0,7874435
0,1065867388
0,7874436
0,1065867387
0,7874440
0,1065867383
0,7874448
0,1065867375
0,7874480
0,1065867343
0,7874496
0,1065867327
0,7874497
0,1065867326
0,7875262
0,1065866561
0,7875263
0,1065866560
0,7875512
0,1065866311
0,7876480
0,1065865343
0,7876512
0,1065865311
0,7878223
0,1065863600
0,7878528
0,1065863295
0,7879295
0,1065862528
0,7882079
0,1065859744
0,7882111
0,1065859712
0,7882140
0,1065859683
0,7882172
0,1065859651
0,7882567
0,1065859256
0,7882624
0,1065859199
0,7882626
0,1065859197
0,7882627
0,1065859196
0,7882628
0,1065859195
0,7882632
0,1065859191
0,7882640
0,1065859183
0,7882672
0,1065859151
0,7882688
0,1065859135
0,7882689
0,1065859134
0,7883704
0,1065858119
0,7884672
0,1065857151
0,7884704
0,1065857119
0,7898766
0,1065843057
0,7898767
0,1065843056
0,7898951
0,1065842872
0,7899008
0,1065842815
0,7899010
0,1065842813
0,7899011
0,1065842812
0,7899012
0,1065842811
0,7899016
0,1065842807
0,7899024
0,1065842799
0,7899056
0,1065842767
0,7899072
0,1065842751
0,7899073
0,1065842750
0,7899838
0,1065841985
0,7899839
0,1065841984
0,7900088
0,1065841735
0,7901056
0,1065840767
